x,y,tipo,timestamp,resolucao_largura,resolucao_altura,x_norm,y_norm
952,1013,tap,2026-02-24T08:55:16.091248,1920,1080,0.49583333333333335,0.937962962962963
696,1021,tap,2026-02-24T08:55:19.503647,1920,1080,0.3625,0.9453703703703704
1665,701,tap,2026-02-24T08:55:23.276969,1920,1080,0.8671875,0.649074074074074
736,482,tap,2026-02-24T08:55:29.612655,1920,1080,0.38333333333333336,0.4462962962962963
624,841,tap,2026-02-24T08:55:34.297712,1920,1080,0.325,0.7787037037037037
298,645,tap,2026-02-24T08:55:41.805917,1920,1080,0.15520833333333334,0.5972222222222222
314,569,tap,2026-02-24T08:55:45.406343,1920,1080,0.16354166666666667,0.5268518518518519
