x,y,tipo,timestamp,resolucao_largura,resolucao_altura,x_norm,y_norm
706,991,tap,2026-03-12T10:05:24.896198,1920,1080,0.36770833333333336,0.9175925925925926
1621,693,tap,2026-03-12T10:05:27.993656,1920,1080,0.8442708333333333,0.6416666666666667
1155,428,tap,2026-03-12T10:05:31.410121,1920,1080,0.6015625,0.3962962962962963
788,601,tap,2026-03-12T10:05:34.203078,1920,1080,0.41041666666666665,0.5564814814814815
154,324,tap,2026-03-12T10:05:38.818495,1920,1080,0.08020833333333334,0.3
150,512,tap,2026-03-12T10:05:40.860417,1920,1080,0.078125,0.4740740740740741
140,631,tap,2026-03-12T10:05:42.609129,1920,1080,0.07291666666666667,0.5842592592592593
