x,y,tipo,timestamp,resolucao_largura,resolucao_altura,x_norm,y_norm
940,1011,tap,2026-03-12T09:39:27.652079,1920,1080,0.4895833333333333,0.9361111111111111
1085,1001,tap,2026-03-12T09:39:31.386881,1920,1080,0.5651041666666666,0.9268518518518518
1383,382,tap,2026-03-12T09:39:35.836903,1920,1080,0.7203125,0.3537037037037037
356,318,tap,2026-03-12T09:39:39.431798,1920,1080,0.18541666666666667,0.29444444444444445
296,414,tap,2026-03-12T09:39:43.022357,1920,1080,0.15416666666666667,0.38333333333333336
