x,y,tipo,timestamp,resolucao_largura,resolucao_altura,x_norm,y_norm
670,999,tap,2026-03-10T09:41:14.131295,1920,1080,0.3489583333333333,0.925
1495,859,tap,2026-03-10T09:41:18.002450,1920,1080,0.7786458333333334,0.7953703703703704
902,655,tap,2026-03-10T09:41:23.380499,1920,1080,0.46979166666666666,0.6064814814814815
142,316,tap,2026-03-10T09:41:27.733471,1920,1080,0.07395833333333333,0.29259259259259257
194,543,tap,2026-03-10T09:41:30.466962,1920,1080,0.10104166666666667,0.5027777777777778
144,526,tap,2026-03-10T09:41:32.093144,1920,1080,0.075,0.48703703703703705
156,623,tap,2026-03-10T09:41:33.965155,1920,1080,0.08125,0.5768518518518518
